Day,Demand,DD pairs,SD sites,V01(2i),V02(2i),V03(2i),V04(2i),V05(2i),V06(2i),V07(2i),V08(2i),V09(1i),V10(1i),V11(1i),V12(1i),V13(1i),V14(1i),V15(1i),V16(1i),V17(1i),V18(1i),V19(1i),V20(1i),V21(1i),V22(1i),V23(1i),V24(1i)
1,9,1,7,-,-,-,SD/S4,-,-,DD/S2+S2,-,-,-,SD/S4,-,SD/S1,-,SD/S1,SD/S1,SD/S1,SD/S1,-,-,-,-,-,-
2,10,2,6,-,DD/S2+S2,-,SL,-,-,-,DD/S2+S2,SD/S4,-,-,-,-,SD/S2,-,SL,-,SL,SD/S2,SD/S2,SD/S2,SD/S1,-,-
3,11,2,7,SD/S3,-,DD/S2+S2,-,DD/S2+S2,-,-,SL,SL,SD/S2,SD/S1,-,-,SD/S2,SD/S2,-,SD/S2,-,SL,-,SL,-,SD/S2,-
4,13,2,9,-,-,-,DD/S2+S2,-,-,DD/S2+S2,SD/S2,-,SD/S2,SD/S1,SD/S3,-,SD/S2,SD/S2,-,SL,-,SD/S2,-,SD/S2,SD/S2,SL,-
5,14,2,10,DD/S2+S2,-,DD/S2+S2,SD/S1,SD/S2,-,-,-,SD/S2,-,-,SL,SD/S3,-,SD/S2,SD/S2,-,-,SL,SD/S2,SL,SD/S2,SD/S2,SD/S3
6,16,3,10,-,SD/S3,SL,DD/S2+S2,SD/S2,DD/S2+S2,-,DD/S2+S2,SL,-,-,-,SD/S2,SD/S2,SD/S1,SL,SD/S2,SD/S3,SD/S2,SL,-,SD/S2,SD/S2,-
7,17,3,11,DD/S2+S2,DD/S2+S2,DD/S2+S2,-,-,SL,-,-,SD/S2,-,SD/S1,SD/S3,SD/S2,SL,-,-,SL,SD/S2,SD/S2,SD/S2,SD/S2,SD/S1,SD/S2,SD/S3
8,19,3,13,SL,SD/S1,-,DD/S2+S2,DD/S2+S2,DD/S2+S2,SD/S2,SD/S2,SD/S2,SD/S3,-,SD/S2,SL,SD/S2,SD/S1,SD/S3,SD/S2,SL,-,SD/S2,SD/S2,SL,-,SD/S2
9,20,4,12,-,DD/S2+S2,DD/S2+S2,-,SL,SL,DD/S2+S2,DD/S2+S2,SD/S2,SL,SD/S2,SL,SD/S2,-,SD/S1,-,SD/S2,SD/S3,SD/S2,SD/S2,SD/S2,SD/S1,SD/S2,SD/S3
10,21,4,13,DD/S2+S2,-,-,DD/S2+S2,DD/S2+S2,DD/S2+S2,SD/S1,SL,-,SD/S3,SD/S2,SD/S2,SD/S2,SD/S2,SD/S1,SD/S3,-,-,SD/S2,SD/S2,SD/S2,SD/S2,SD/S2,SL
